country,year,gdp_growth,inflation,unemployment,inflation_signal,unemployment_signal
Brazil,2005,3.202132062,NULL,NULL,STABLE_INFLATION,LOW_UNEMPLOYMENT
Brazil,2006,3.961988709,6.869537209,10.551,MODERATE_INFLATION,MODERATE_UNEMPLOYMENT
Brazil,2007,6.069870607,4.183568129,9.692,STABLE_INFLATION,LOW_UNEMPLOYMENT
Brazil,2008,5.094195448,3.641272991,9.28,STABLE_INFLATION,LOW_UNEMPLOYMENT
Brazil,2009,-0.125812003,5.678593903,8.268,MODERATE_INFLATION,LOW_UNEMPLOYMENT
Brazil,2010,7.528225818,4.888034799,9.419,STABLE_INFLATION,LOW_UNEMPLOYMENT
Brazil,2011,3.974423079,5.038726901,8.42,MODERATE_INFLATION,LOW_UNEMPLOYMENT
Brazil,2012,1.921175985,6.636449622,7.578,MODERATE_INFLATION,LOW_UNEMPLOYMENT
Brazil,2013,3.00482267,5.40349914,7.251,MODERATE_INFLATION,LOW_UNEMPLOYMENT
Brazil,2014,0.50395574,6.204310666,7.071,MODERATE_INFLATION,LOW_UNEMPLOYMENT
Brazil,2015,-3.545763393,6.329040155,6.755,MODERATE_INFLATION,LOW_UNEMPLOYMENT
Brazil,2016,-3.275916906,9.029901024,8.538,MODERATE_INFLATION,LOW_UNEMPLOYMENT
Brazil,2017,1.322869054,8.739143523,11.58,MODERATE_INFLATION,MODERATE_UNEMPLOYMENT
Brazil,2018,1.783666761,3.44637335,12.792,STABLE_INFLATION,MODERATE_UNEMPLOYMENT
Brazil,2019,1.220777823,3.664850284,12.329,STABLE_INFLATION,MODERATE_UNEMPLOYMENT
Brazil,2020,-3.276758796,3.732976212,11.936,STABLE_INFLATION,MODERATE_UNEMPLOYMENT
Brazil,2021,4.76260438,3.211768038,13.697,STABLE_INFLATION,MODERATE_UNEMPLOYMENT
Brazil,2022,3.016694354,8.301659756,13.158,MODERATE_INFLATION,MODERATE_UNEMPLOYMENT
Brazil,2023,3.241655328,9.28010609,9.231,MODERATE_INFLATION,LOW_UNEMPLOYMENT
India,2005,7.923430621,NULL,NULL,STABLE_INFLATION,LOW_UNEMPLOYMENT
India,2006,8.060732572,4.24634362,7.551,STABLE_INFLATION,LOW_UNEMPLOYMENT
India,2007,7.660815067,5.796523376,7.553,MODERATE_INFLATION,LOW_UNEMPLOYMENT
India,2008,3.086698059,6.372881356,7.562,MODERATE_INFLATION,LOW_UNEMPLOYMENT
India,2009,7.861888833,8.349267049,7.629,MODERATE_INFLATION,LOW_UNEMPLOYMENT
India,2010,8.497584702,10.88235294,7.636,MODERATE_INFLATION,LOW_UNEMPLOYMENT
India,2011,5.241316199,11.98938992,7.631,MODERATE_INFLATION,LOW_UNEMPLOYMENT
India,2012,5.456387552,8.911793365,7.609,MODERATE_INFLATION,LOW_UNEMPLOYMENT
India,2013,6.386106401,9.478996914,7.645,MODERATE_INFLATION,LOW_UNEMPLOYMENT
India,2014,7.410227605,10.01787847,7.678,MODERATE_INFLATION,LOW_UNEMPLOYMENT
India,2015,7.996253786,6.665656719,7.656,MODERATE_INFLATION,LOW_UNEMPLOYMENT
India,2016,8.256305502,4.906973441,7.629,STABLE_INFLATION,LOW_UNEMPLOYMENT
India,2017,6.795383419,4.948216341,7.611,STABLE_INFLATION,LOW_UNEMPLOYMENT
India,2018,6.453851345,3.328173375,7.626,STABLE_INFLATION,LOW_UNEMPLOYMENT
India,2019,3.871436941,3.938826467,7.652,STABLE_INFLATION,LOW_UNEMPLOYMENT
India,2020,-5.777724707,3.729505735,6.51,STABLE_INFLATION,LOW_UNEMPLOYMENT
India,2021,9.689592492,6.623436776,7.859,MODERATE_INFLATION,LOW_UNEMPLOYMENT
India,2022,7.609364978,5.131407472,6.38,MODERATE_INFLATION,LOW_UNEMPLOYMENT
India,2023,9.19075493,6.699034141,4.822,MODERATE_INFLATION,LOW_UNEMPLOYMENT
Kenya,2005,5.90666608,NULL,NULL,STABLE_INFLATION,LOW_UNEMPLOYMENT
Kenya,2006,6.4724943,10.31277836,2.739,MODERATE_INFLATION,LOW_UNEMPLOYMENT
Kenya,2007,6.85072977,14.45373421,2.673,MODERATE_INFLATION,LOW_UNEMPLOYMENT
Kenya,2008,0.232282745,9.75888023,2.642,MODERATE_INFLATION,LOW_UNEMPLOYMENT
Kenya,2009,3.306939816,26.23981664,2.751,HIGH_INFLATION,LOW_UNEMPLOYMENT
Kenya,2010,8.058473603,9.234125924,2.816,MODERATE_INFLATION,LOW_UNEMPLOYMENT
Kenya,2011,5.12110612,3.961388891,2.793,STABLE_INFLATION,LOW_UNEMPLOYMENT
Kenya,2012,4.568679614,14.0224913,2.699,MODERATE_INFLATION,LOW_UNEMPLOYMENT
Kenya,2013,3.797848393,9.377770035,2.678,MODERATE_INFLATION,LOW_UNEMPLOYMENT
Kenya,2014,5.020111002,5.71749357,2.762,MODERATE_INFLATION,LOW_UNEMPLOYMENT
Kenya,2015,4.967721128,6.878154993,2.767,MODERATE_INFLATION,LOW_UNEMPLOYMENT
Kenya,2016,4.213517068,6.582154293,2.762,MODERATE_INFLATION,LOW_UNEMPLOYMENT
Kenya,2017,3.837958174,6.297249538,2.757,MODERATE_INFLATION,LOW_UNEMPLOYMENT
Kenya,2018,5.647946407,8.005649677,3.542,MODERATE_INFLATION,LOW_UNEMPLOYMENT
Kenya,2019,5.114158858,4.689806468,4.284,STABLE_INFLATION,LOW_UNEMPLOYMENT
Kenya,2020,-0.272766327,5.239637958,5.014,MODERATE_INFLATION,LOW_UNEMPLOYMENT
Kenya,2021,7.590489473,5.405162079,5.613,MODERATE_INFLATION,LOW_UNEMPLOYMENT
Kenya,2022,4.859981043,6.107936037,5.693,MODERATE_INFLATION,LOW_UNEMPLOYMENT
Kenya,2023,5.719992412,7.659862683,5.565,MODERATE_INFLATION,LOW_UNEMPLOYMENT
Nigeria,2005,6.438516525,NULL,NULL,STABLE_INFLATION,LOW_UNEMPLOYMENT
Nigeria,2006,6.059428032,17.86349337,3.727,MODERATE_INFLATION,LOW_UNEMPLOYMENT
Nigeria,2007,6.591130361,8.22522152,3.749,MODERATE_INFLATION,LOW_UNEMPLOYMENT
Nigeria,2008,6.764472778,5.388007969,3.794,MODERATE_INFLATION,LOW_UNEMPLOYMENT
Nigeria,2009,8.036925101,11.58107517,3.792,MODERATE_INFLATION,LOW_UNEMPLOYMENT
Nigeria,2010,8.005655916,12.53782773,3.763,MODERATE_INFLATION,LOW_UNEMPLOYMENT
Nigeria,2011,5.307924203,13.74005214,3.744,MODERATE_INFLATION,LOW_UNEMPLOYMENT
Nigeria,2012,4.230061175,10.82613719,3.77,MODERATE_INFLATION,LOW_UNEMPLOYMENT
Nigeria,2013,6.671335393,12.2242413,3.761,MODERATE_INFLATION,LOW_UNEMPLOYMENT
Nigeria,2014,6.309718655,8.495518383,3.711,MODERATE_INFLATION,LOW_UNEMPLOYMENT
Nigeria,2015,2.652693295,8.04741088,3.9,MODERATE_INFLATION,LOW_UNEMPLOYMENT
Nigeria,2016,-1.616868949,9.00943498,4.134,MODERATE_INFLATION,LOW_UNEMPLOYMENT
Nigeria,2017,0.805886619,15.69681264,4.499,MODERATE_INFLATION,LOW_UNEMPLOYMENT
Nigeria,2018,1.922757342,16.50226621,4.83,MODERATE_INFLATION,LOW_UNEMPLOYMENT
Nigeria,2019,2.208429277,12.09510652,5.069,MODERATE_INFLATION,LOW_UNEMPLOYMENT
Nigeria,2020,-6.368898405,11.39642234,5.206,MODERATE_INFLATION,LOW_UNEMPLOYMENT
Nigeria,2021,1.109252539,13.24602343,5.714,MODERATE_INFLATION,LOW_UNEMPLOYMENT
Nigeria,2022,4.318829495,16.95284572,5.404,MODERATE_INFLATION,LOW_UNEMPLOYMENT
Nigeria,2023,3.326845564,18.84718778,3.827,MODERATE_INFLATION,LOW_UNEMPLOYMENT
South Africa,2005,5.277051973,NULL,NULL,STABLE_INFLATION,LOW_UNEMPLOYMENT
South Africa,2006,5.603806459,2.062853082,22.472,STABLE_INFLATION,MODERATE_UNEMPLOYMENT
South Africa,2007,5.360474054,3.243907654,22.304,STABLE_INFLATION,MODERATE_UNEMPLOYMENT
South Africa,2008,3.191043886,6.177812148,22.26,MODERATE_INFLATION,MODERATE_UNEMPLOYMENT
South Africa,2009,-1.538089135,9.90998456,22.407,MODERATE_INFLATION,MODERATE_UNEMPLOYMENT
South Africa,2010,3.039732881,7.238095238,23.523,MODERATE_INFLATION,MODERATE_UNEMPLOYMENT
South Africa,2011,3.168556279,4.06749556,24.683,STABLE_INFLATION,MODERATE_UNEMPLOYMENT
South Africa,2012,2.396232385,5.000853388,24.639,MODERATE_INFLATION,MODERATE_UNEMPLOYMENT
South Africa,2013,2.485468008,5.737971391,24.727,MODERATE_INFLATION,MODERATE_UNEMPLOYMENT
South Africa,2014,1.413826452,5.780169101,24.561,MODERATE_INFLATION,MODERATE_UNEMPLOYMENT
South Africa,2015,1.321862237,6.132829531,24.89,MODERATE_INFLATION,MODERATE_UNEMPLOYMENT
South Africa,2016,0.664552308,4.518690949,25.149,STABLE_INFLATION,HIGH_UNEMPLOYMENT
South Africa,2017,1.157946952,6.602908424,26.536,MODERATE_INFLATION,HIGH_UNEMPLOYMENT
South Africa,2018,1.556783847,5.186186555,27.035,MODERATE_INFLATION,HIGH_UNEMPLOYMENT
South Africa,2019,0.259935577,4.509872649,26.906,STABLE_INFLATION,HIGH_UNEMPLOYMENT
South Africa,2020,-6.168917715,4.102850755,28.468,STABLE_INFLATION,HIGH_UNEMPLOYMENT
South Africa,2021,4.858648651,3.232388316,29.217,STABLE_INFLATION,HIGH_UNEMPLOYMENT
South Africa,2022,2.058136617,4.618745449,34.007,STABLE_INFLATION,HIGH_UNEMPLOYMENT
South Africa,2023,0.806104551,7.039872725,33.268,MODERATE_INFLATION,HIGH_UNEMPLOYMENT
